date,pound,euro
20100104,1.6109,1.441961067
20100105,1.6009,1.440299582
20100106,1.6016,1.440299582
20100107,1.5912,1.431434297
20100108,1.5993,1.435750179
20100111,1.6146,1.453699666
20100112,1.6181,1.4522219
20100113,1.6288,1.449275362
20100114,1.632,1.447806573
20100115,1.624,1.437607821
20100119,1.637,1.426940639
20100120,1.6287,1.40944327
20100121,1.6214,1.410636197
20100122,1.612,1.415428167
20100125,1.6236,1.414627246
20100126,1.6109,1.406271973
20100127,1.6204,1.405283867
20100128,1.6242,1.399384271
20100129,1.6009,1.386962552
20100201,1.5924,1.390433815
20100202,1.5968,1.395478649
20100203,1.5915,1.390627173
20100204,1.5763,1.375894331
20100205,1.5619,1.360729351
20100208,1.565,1.369863014
20100209,1.5679,1.379500621
20100210,1.5606,1.372118551
20100211,1.5674,1.364070386
20100212,1.5669,1.362583458
20100216,1.5732,1.374192662
20100217,1.5704,1.362212233
20100218,1.5582,1.356300014
20100219,1.5437,1.353729525
20100222,1.5477,1.359064963
20100223,1.5464,1.353729525
20100224,1.5432,1.357588922
20100225,1.5201,1.347527287
20100226,1.5239,1.365933616
20100301,1.4974,1.351533991
20100302,1.494,1.356483993
20100303,1.5124,1.373060552
20100304,1.5031,1.357036233
20100305,1.5115,1.360729351
20100308,1.506,1.361285053
20100309,1.5003,1.358511072
20100310,1.4977,1.365747064
20100311,1.5052,1.367427868
20100312,1.5188,1.37532664
20100315,1.5043,1.365187713
20100316,1.5192,1.375894331
20100317,1.5296,1.373815084
20100318,1.5247,1.360359135
20100319,1.5014,1.352996888
20100322,1.5071,1.353179973
20100323,1.5067,1.353546291
20100324,1.4914,1.334757074
20100325,1.4884,1.334400854
20100326,1.4906,1.339764202
20100329,1.4969,1.34643867
20100330,1.509,1.340842049
20100331,1.5186,1.352630867
20100401,1.529,1.356852103
20100402,1.5197,1.348617667
20100405,1.5284,1.348617667
20100406,1.523,1.337792642
20100407,1.5246,1.336362421
20100408,1.5272,1.336005344
20100409,1.5371,1.346801347
20100412,1.5368,1.358695652
20100413,1.5416,1.359249694
20100414,1.5484,1.366680333
