date,AAPL,AMZN,BIIB,C,GE,NKE,PEP,STT,TM,VLO,VZ,vwret
20100104,0.015555,-0.004609,0.002617,0.02719,0.02115,-0.010898,0.007237,0.02113,0.010932,0.06806,0.004528,0.003368
20100105,0.001729,0.0059,-0.004847,0.038235,0.005178,0.003979,0.012084,0.002024,-0.015397,0.025713,0.001803,0.002053
20100106,-0.015906,-0.018116,0.000937,0.031162,-0.005151,-0.006097,-0.010003,-0.016611,0.012773,0.025068,-0.028344,0.002857
20100107,-0.001849,-0.017013,-0.008235,0.002747,0.05178,0.009814,-0.006356,0.018032,-0.012376,0.007443,-0.005952,0.004161
20100108,0.006648,0.027077,0.02057,-0.016438,0.021538,-0.001974,-0.00328,0.020404,0.023511,-0.01372,0.00063,0.001123
20100111,-0.008822,-0.024056,-0.003328,0.011142,0.009639,-0.012325,-0.001152,-0.025269,0.005131,-0.009631,0.004094,-0.01099
20100112,-0.011375,-0.0227,-0.012059,-0.030303,0.000597,-0.001387,0.014003,-0.003607,0.038283,-0.016208,0.000941,0.008638
20100113,0.014105,0.01382,0.015587,-0.005682,0.003578,0.008948,0.008123,0.009276,-0.003464,-0.008237,-0.001253,0.002316
20100114,-0.005792,-0.013632,0.005177,0.002857,-0.007724,-0.006269,0.012087,-0.018382,0.019509,0.011628,-0.020395,-0.011319
20100115,-0.016712,-0.001649,-0.003311,-0.025641,-0.015569,-0.009232,-0.008121,-0.025577,0.002309,0.027367,-0.0205,0.012048
20100119,0.044238,0.003697,0.01938,0.035088,0.006083,0.00497,0.000642,0.012421,0.007022,0.005328,0.021256,-0.011061
20100120,-0.015416,-0.014341,-0.009234,-0.022599,-0.002418,-0.00819,-0.006097,0.071296,-0.026258,0.013249,-0.016651,-0.017736
20100121,-0.017254,0.006678,-0.027595,-0.054913,-0.029091,-0.008414,-0.016304,-0.017502,0.011749,-0.011506,-0.002605,-0.020983
20100122,-0.049608,-0.040989,-0.002819,-0.006116,0.005618,-0.010371,-0.009025,-0.046404,-0.024884,-0.038095,-0.009468,0.003892
20100125,0.026928,-0.009223,-0.00735,-0.006154,0.016139,0.010956,-0.002649,0.013376,-0.005217,0.009351,0.011206,-0.004903
20100126,0.014108,-0.006899,0.006265,-0.024768,-0.001222,0.001099,0.000332,-0.019572,-0.010603,0.036512,-0.016623,0.004155
20100127,0.00944,0.027369,0.010943,0.015873,-0.003058,0.004079,0.000664,0.033194,-0.080779,-0.01735,-0.009944,-0.011291
20100128,-0.04134,0.026721,-0.005786,0.0125,-0.008589,-0.0075,-0.009123,-0.015277,-0.026326,-0.013911,-0.018078,-0.010279
20100129,-0.036264,-0.004919,0.008823,0.024691,-0.00495,0.003621,-0.002009,-0.021675,-0.008626,-0.000543,0.003069,0.015089
20100201,0.013886,-0.052149,0.003163,0.006024,0.010572,0.00549,0.018115,0.029851,0.038182,0.040174,0.006458,0.012227
20100202,0.005803,-0.006309,0.019106,0.020958,0.036923,-0.002652,0.007414,0.009284,-0.022017,0.005219,0.004053,-0.004968
20100203,0.017206,0.008297,-0.006189,-0.01173,-0.010089,0.001095,0.002289,-0.003814,-0.05999,-0.016615,-0.018163,-0.031955
20100204,-0.036039,-0.026532,-0.027473,-0.05638,-0.038369,-0.029844,-0.026921,-0.029955,-0.023268,-0.043823,-0.019185,0.00266
20100205,0.017756,0.012506,0.008098,0.012579,-0.015586,-0.006281,-0.00218,0.006501,0.040819,0.002761,0.003842,-0.008229
20100208,-0.006856,-0.00477,-0.01289,-0.021739,-0.012033,-0.006483,-0.009242,-0.008074,-0.024896,-0.01707,-0.012874,0.013884
20100209,0.010664,0.010271,0.023656,0.009524,0,0.019739,0.018487,0.028372,0.024022,0.014006,0.013394,-0.001473
20100210,-0.005474,-0.005677,0.005546,0.006289,0.005769,0.00208,0.005495,0.009498,0.014611,-0.005525,0.004174,0.012092
20100211,0.018215,0.023262,0.023901,0.003125,0.005099,0.004949,0.013415,0.009185,0.004096,0,0.005888,-0.000656
20100212,0.008607,-0.003581,-0.008619,-0.009346,-0.013951,-0.007307,-0.004412,-0.009545,0.013816,-0.013889,-0.003788,0.017965
20100216,0.015071,-0.0178,-0.00163,0.04088,0.031511,0.018563,0.006402,0.01905,-0.013498,0.015254,0.008642,0.004661
20100217,-0.004179,-0.01038,0.020138,0.030212,0.006858,0.01304,0.013048,-0.013855,-0.02447,-0.008347,-0.001371,0.006186
20100218,0.001866,0.015218,-0.004446,0.005865,0.005573,-0.00062,0.006762,0.008698,-0.009575,-0.007295,0.000343,0.002455
20100219,-0.006199,-0.004743,0.011254,-0.002915,-0.00431,-0.001397,0.002079,0.031174,-0.001226,0.011306,-0.00446,-0.001112
20100222,-0.006218,0.00417,-0.016605,0.011696,0.004947,-0.000622,-0.00399,0.003002,-0.005726,-0.006149,-0.000689,-0.013059
20100223,-0.01675,-0.006525,-0.007544,-0.031792,-0.018462,-0.002799,-0.010095,-0.019666,-0.018922,-0.016873,-0.008966,0.008519
20100224,0.018253,0.021153,0.000724,0.029851,0.010658,0.012475,0.004856,-0.010467,0.038854,0.006865,0.007655,-0.000715
20100225,0.006698,-0.012696,-0.007235,-0.017391,-0.006204,0.018944,0.003544,-0.008594,-0.005785,-0.008523,-0.002762,0.001846
20100226,0.01297,0.001692,0.002186,0.00295,0.008794,0.021765,0.002729,-0.001778,0.012585,0.004011,0.001731,0.011974
20100301,0.021357,0.051858,0.032176,-0.002941,-0.009963,0.009467,0.015367,0.001336,-0.015903,0.006849,0.002074,0.004409
20100302,-0.00067,0.007949,0.009334,0.00295,0,-0.003077,0.005833,0.001334,0.010592,0.031746,0.009314,0.001602
