date,AAPL,AMZN,BIIB,C,GE,NKE,PEP,STT,TM,VLO,VZ,vwret
20100129,-0.088591,-0.067722,0.004486,0.003021,0.062789,-0.035114,-0.019408,-0.015158,-0.085076,0.099701,-0.097646,-0.037084
20100226,0.06538,-0.055897,0.023632,0.024096,0.004975,0.060392,0.047803,0.047341,-0.028182,-0.046145,-0.016655,0.034776
20100331,0.14847,0.146706,0.043265,0.191176,0.13325,0.091272,0.066272,0.005344,0.082152,0.124429,0.072243,0.063606
20100430,0.111021,0.009796,-0.071441,0.079012,0.036264,0.032789,-0.014208,-0.036331,-0.041408,0.05533,-0.05303,0.020061
20100528,-0.016125,-0.084902,-0.109964,-0.093821,-0.133086,-0.046503,-0.035725,-0.122529,-0.061616,-0.099086,-0.047751,-0.079136
20100630,-0.020827,-0.129125,0.000422,-0.050505,-0.111927,-0.063001,-0.023215,-0.113702,-0.052115,-0.037473,0.018169,-0.050722
20100730,0.022741,0.078986,0.177661,0.090426,0.117892,0.090155,0.064971,0.150798,0.024209,-0.055061,0.123434,0.070285
20100831,-0.055005,0.058868,-0.037223,-0.095366,-0.101737,-0.04943,-0.011246,-0.098664,-0.034031,-0.068864,0.016173,-0.042821
20100930,0.167215,0.258191,0.043123,0.054192,0.130525,0.148714,0.042692,0.073831,0.062118,0.110336,0.103623,0.091506
20101029,0.060723,0.052018,0.117427,0.066496,-0.014154,0.016222,-0.017158,0.108869,-0.010618,0.025129,0.011583,0.038497
20101130,0.03379,0.061551,0.020093,0.007194,-0.01186,0.057588,-0.01026,0.034483,0.097007,0.088022,-0.01447,0.00512
20101231,0.03667,0.026226,0.048148,0.126191,0.164245,-0.004644,0.018258,0.072917,0.012099,0.186858,0.117776,0.067173
20110131,0.051959,-0.057556,-0.023565,0.019028,0.101148,-0.034418,-0.015613,0.0082,0.045148,0.096886,0.009153,0.01913
20110228,0.040935,0.021516,0.044753,-0.029046,0.04568,0.079413,-0.013839,-0.042808,0.135313,0.11317,0.036496,0.038163
20110331,-0.013314,0.039471,0.074123,-0.055556,-0.041587,-0.146243,0.023179,0.008944,-0.131865,0.058197,0.043879,0.003351
20110429,0.004656,0.087048,0.329114,0.038462,0.01995,0.087451,0.069554,0.035826,-0.007103,-0.050973,-0.007071,0.028661
20110531,-0.006569,0.004494,-0.029903,-0.103268,-0.039609,0.025875,0.03237,-0.016756,0.045306,-0.026502,-0.022499,-0.01489
20110630,-0.03496,0.039656,0.128681,0.011908,-0.032077,0.069153,-0.002461,-0.010924,-0.010445,-0.070182,0.008123,-0.018382
20110729,0.163285,0.088171,-0.047232,-0.079011,-0.050371,0.001889,-0.090728,-0.080284,-0.006066,-0.017599,-0.039014,-0.022508
20110831,-0.014469,-0.032761,-0.075292,-0.190141,-0.089336,-0.038824,0.014132,-0.143477,-0.123047,-0.093551,0.024795,-0.057466
20110930,-0.009121,0.004646,-0.011146,-0.17504,-0.057633,-0.009579,-0.039267,-0.089527,-0.042706,-0.21743,0.017558,-0.084815
20111031,0.061523,-0.012579,0.249168,0.233262,0.097897,0.126769,0.016963,0.255908,-0.022707,0.383577,0.018478,0.113962
20111130,-0.055783,-0.099386,-0.012118,-0.129788,-0.047875,-0.001764,0.024861,-0.018321,-0.011992,-0.088618,0.020281,-0.006204
20111230,0.059655,-0.099797,-0.042627,-0.042576,0.136392,0.005718,0.036719,0.021185,0.003338,-0.054782,0.063345,0.003701
20120131,0.127111,0.123281,0.071785,0.167617,0.044668,0.07907,-0.010249,-0.028033,0.111145,0.139667,-0.048853,0.054061
20120229,0.188311,-0.075859,-0.012548,0.084961,0.027258,0.037792,-0.033729,0.077846,0.125612,0.027095,0.011949,0.041212
20120330,0.105284,0.126996,0.081824,0.096939,0.053543,0.008154,0.054179,0.083116,0.058773,0.052266,0.003149,0.023985
20120430,-0.025969,0.145129,0.063571,-0.095896,-0.024415,0.03163,-0.005275,0.015824,-0.058051,-0.041521,0.069317,-0.006795
20120531,-0.010702,-0.081889,-0.024327,-0.197458,-0.025026,-0.029767,0.036174,-0.108395,-0.059795,-0.139676,0.031204,-0.065523
20120629,0.010853,0.072519,0.104245,0.033949,0.100576,-0.188575,0.041415,0.089056,0.04669,0.14455,0.067243,0.038159
20120731,0.045822,0.021677,0.010043,-0.010215,-0.004319,0.063454,0.029295,-0.09543,-0.049329,0.138716,0.027003,0.010285
20120831,0.093539,0.064166,0.005212,0.095466,-0.001928,0.046813,-0.004125,0.030213,0.040648,0.143091,-0.048737,0.026259
20120928,0.002803,0.024369,0.017873,0.101313,0.10478,-0.025164,-0.015498,0.014423,-0.004778,0.013436,0.061248,0.026535
20121031,-0.107607,-0.084252,-0.073707,0.142726,-0.072655,-0.037193,-0.021619,0.062202,-0.013247,-0.081439,-0.009107,-0.014094
